0001055283	1	4.0
0002200643	1	5.0
0002555255	1	4.0
0004111184	1	5.0
0004133455	1	4.0
0004709810	1	4.0
000472223X	1	5.0
000633833X	1	5.0
0006514952	2	10.0
0007114478	1	4.0
000711737X	1	4.0
000711883X	1	5.0
0007123868	1	5.0
0007141084	1	5.0
0007145489	1	1.0
0007163541	1	4.0
0007164653	1	5.0
0007164890	1	5.0
0007169639	1	4.0
0007175337	1	5.0
0007192932	1	5.0
0007662394	1	5.0
0020098014	1	4.0
0020307209	1	5.0
0020322208	1	5.0
0020360355	1	5.0
0020427859	1	5.0
0020430906	1	5.0
0026217457	1	3.0
0026894165	1	5.0
0027746615	1	5.0
0028005945	1	5.0
002802253X	1	5.0
0028534107	1	5.0
0028610105	2	10.0
0028611136	1	4.0
0028612698	1	5.0
0028612752	1	2.0
0028617355	1	2.0
0028621425	1	5.0
0028624734	1	2.0
0028626451	1	5.0
0028626958	1	4.0
0028627075	1	3.0
0028629051	1	5.0
0028629094	1	3.0
0028629582	1	4.0
0028629604	1	3.0
0028631188	1	5.0
0028631870	1	2.0
002863196X	1	5.0
0028633407	1	4.0
0028633504	1	4.0
0028633830	1	3.0
0028633938	1	4.0
0028634527	1	4.0
0028634586	1	1.0
0028634691	1	4.0
0028636392	1	5.0
0028636619	1	5.0
002863716X	3	15.0
0028637267	1	5.0
0028637275	2	10.0
0028637550	1	4.0
0028637771	1	5.0
0028639405	1	5.0
0028639804	1	4.0
0028641469	1	5.0
0028641981	1	5.0
0028642279	1	5.0
0028642414	1	5.0
0028643305	1	5.0
0028643658	1	5.0
0028643771	1	5.0
0028644069	1	5.0
002864459X	1	5.0
0028644719	1	5.0
0029050707	1	4.0
002907052X	1	5.0
0029099110	1	4.0
0029123704	1	4.0
0029149703	1	4.0
0029177766	1	5.0
0029266459	1	5.0
0029317207	1	5.0
0030292719	1	3.0
0030429900	1	4.0
0030650542	1	4.0
0030818613	1	5.0
0049130080	1	5.0
0060001208	1	5.0
0060002050	1	4.0
006000553X	1	4.0
0060005556	1	4.0
0060005726	1	2.0
0060006641	1	5.0
0060006781	1	5.0
0060006927	1	4.0
0060007737	1	4.0
0060007761	2	10.0
0060009012	1	5.0
006000942X	2	9.0
006001203X	2	8.0
0060013990	1	5.0
0060014016	1	5.0
0060081589	1	4.0
0060081597	1	5.0
0060081988	1	4.0
006008216X	1	5.0
0060083824	1	5.0
0060086246	1	4.0
0060086270	1	4.0
0060086564	1	4.0
0060088869	1	5.0
0060090367	1	3.0
0060090375	1	4.0
0060092130	2	10.0
0060092149	1	4.0
0060092572	1	5.0
0060092653	1	5.0
0060093749	1	4.0
